,authors,title,venue,type,year,access,key,ee
23,"Thirumalai Jaganathan,Anandan Panneerselvam,Senthil Kumar Kumaraswamy",Object detection and multi-object tracking based on optimized deep convolutional neural network and unscented Kalman filtering.,Concurr. Comput. Pract. Exp.,Journal Articles,2022,closed,journals/concurrency/JaganathanPK22,https://doi.org/10.1002/cpe.7245
24,"Noureldin Laban,Bassam Abdellatif,Hala M. Ebeid,Howida A. Shedeed,Mohamed F. Tolba 0001",Toward object alphabet augmentation for object detection in very high-resolution satellite images.,Concurr. Comput. Pract. Exp.,Journal Articles,2022,closed,journals/concurrency/LabanAEST22,https://doi.org/10.1002/cpe.6785
25,"Xuan Li,Yuhang Xu,Lei Ma,Zhi Yang,Zhenghua Huang,Hanyu Hong,Jinwen Tian",Multi-source weakly supervised salient object detection via boosting weak-annotation source and constraining object structure.,Digit. Signal Process.,Journal Articles,2022,closed,journals/dsp/LiXMYHHT22,https://doi.org/10.1016/j.dsp.2022.103461
26,"Xinyu Wang,Xiaoli Jia,Chuyi Jiang,Sanxin Jiang",A wafer surface defect detection method built on generic object detection network.,Digit. Signal Process.,Journal Articles,2022,open,journals/dsp/WangJJJ22,https://doi.org/10.1016/j.dsp.2022.103718
27,"Ramakant Chandrakar,Rohit Raja,Rohit Miri,Upasana Sinha,Alok Kumar Singh Kushwaha,Hiral Raja",Enhanced the moving object detection and object tracking for traffic surveillance using RBF-FDLNN and CBF algorithm.,Expert Syst. Appl.,Journal Articles,2022,closed,journals/eswa/ChandrakarRMSKR22,https://doi.org/10.1016/j.eswa.2021.116306
28,"Jiansheng Wei,Shuguo Pan,Wang Gao,Tao Zhao 0005",A dynamic object filtering approach based on object detection and geometric constraint between frames.,IET Image Process.,Journal Articles,2022,open,journals/iet-ipr/WeiPGZ22,https://doi.org/10.1049/ipr2.12436
29,"Zongyun Gu,Kan Junling,Ma Chun,Wang Qing,Fangfang Li",Joint training with the edge detection network for salient object detection.,Int. J. Comput. Sci. Eng.,Journal Articles,2022,closed,journals/ijcse/GuJCQL22,https://doi.org/10.1504/IJCSE.2022.10045026
30,"Mohd. Sadiq,Sarfaraz Masood,Om Pal",FD-YOLOv5: A Fuzzy Image Enhancement Based Robust Object Detection Model for Safety Helmet Detection.,Int. J. Fuzzy Syst.,Journal Articles,2022,closed,journals/ijfs/SadiqMP22,https://doi.org/10.1007/s40815-022-01267-2
31,"M. B. Bijoy,Sai Manoj Akondi,S. Abdul Fathaah,Akash Raut,P. N. Pournami,P. B. Jayaraj",Cervix type detection using a self-supervision boosted object detection technique.,Int. J. Imaging Syst. Technol.,Journal Articles,2022,closed,journals/imst/BijoyAFRPJ22,https://doi.org/10.1002/ima.22696
32,"Hongbo Zhang 0002,Yi-Zhong Zhou,Ji-Xiang Du,Jin-Long Huang,Qing Lei,Lijie Yang",Improved human-object interaction detection through skeleton-object relations.,J. Exp. Theor. Artif. Intell.,Journal Articles,2022,closed,journals/jetai/ZhangZDHLY22,https://doi.org/10.1080/0952813x.2020.1818293
33,"R. Arumuga Arun,S. Umamaheswari",Effective and efficient multi-crop pest detection based on deep learning object detection models.,J. Intell. Fuzzy Syst.,Journal Articles,2022,closed,journals/jifs/ArunU22,https://doi.org/10.3233/JIFS-220595
